ID,Room,UserID,UserFlag,CityIco,Flag,CityName,CityRot,MapID,L1,L2,L3,L4,L5,L6,C0,C1,C2,C3,Mark,Army,Scenario,Area,Level,Scale,filename
2764,3,41,RED,RED,GREEN,主要,330,120057,0,0,0,0,30,0,0,80,0,0,0,,01-06-03-03-02,江苏,预赛,个人,2018525174031 01-06-03-03-02 推演室3
2765,3,41,RED,RED,GREEN,次要,330,120051,0,0,0,0,30,0,0,50,0,0,0,,01-06-03-03-02,江苏,预赛,个人,2018525174031 01-06-03-03-02 推演室3
2718,9,171,RED,RED,GREEN,主要,330,120057,0,0,0,0,30,0,0,80,0,0,0,,01-06-03-03-02,江苏,预赛,个人,201852521304 01-06-03-03-02 推演室9
2719,9,171,RED,RED,GREEN,次要,330,120051,0,0,0,0,30,0,0,50,0,0,0,,01-06-03-03-02,江苏,预赛,个人,201852521304 01-06-03-03-02 推演室9
2788,6,57,RED,RED,GREEN,主要,330,120057,0,0,0,0,30,0,0,80,0,0,0,,01-06-03-03-02,江苏,预赛,个人,2018526142718 01-06-03-03-02 推演室6
2789,6,57,RED,RED,GREEN,次要,330,120051,0,0,0,0,30,0,0,50,0,0,0,,01-06-03-03-02,江苏,预赛,个人,2018526142718 01-06-03-03-02 推演室6
2854,1,160,RED,RED,GREEN,主要,330,120057,0,0,0,0,30,0,0,80,0,0,0,,01-06-03-03-02,江苏,预赛,个人,2018526211150 01-06-03-03-02 推演室1
2855,1,160,RED,RED,GREEN,次要,330,120051,0,0,0,0,30,0,0,50,0,0,0,,01-06-03-03-02,江苏,预赛,个人,2018526211150 01-06-03-03-02 推演室1
2814,16,146,RED,RED,GREEN,主要,330,120057,0,0,0,0,30,0,0,80,0,0,0,,01-06-03-03-02,江苏,预赛,个人,201852822394 01-06-03-03-02 推演室16
2815,16,146,RED,RED,GREEN,次要,330,120051,0,0,0,0,30,0,0,50,0,0,0,,01-06-03-03-02,江苏,预赛,个人,201852822394 01-06-03-03-02 推演室16
2914,10,150,BLUE,BLUE,GREEN,主要,330,120057,0,0,0,0,30,0,0,80,0,0,0,,01-06-03-03-02,江苏,预赛,个人,201852921850 01-06-03-03-02 推演室10
2915,10,150,BLUE,BLUE,GREEN,次要,330,120051,0,0,0,0,30,0,0,50,0,0,0,,01-06-03-03-02,江苏,预赛,个人,201852921850 01-06-03-03-02 推演室10
2888,19,41,BLUE,BLUE,GREEN,主要,330,120057,0,0,0,0,30,0,0,80,0,0,0,,01-06-03-03-02,江苏,预赛,个人,2018530143244 01-06-03-03-02 推演室19
2889,19,105,RED,RED,GREEN,次要,330,120051,0,0,0,0,30,0,0,50,0,0,0,,01-06-03-03-02,江苏,预赛,个人,2018530143244 01-06-03-03-02 推演室19
2930,5,41,RED,RED,GREEN,主要,330,120057,0,0,0,0,30,0,0,80,0,0,0,,01-06-03-03-02,江苏,预赛,个人,2018530183355 01-06-03-03-02 推演室5
2931,5,41,RED,RED,GREEN,次要,330,120051,0,0,0,0,30,0,0,50,0,0,0,,01-06-03-03-02,江苏,预赛,个人,2018530183355 01-06-03-03-02 推演室5
2502,11,31,BLUE,BLUE,GREEN,主要,330,80048,0,0,0,0,30,0,0,80,0,0,0,,01-05-03-03-02,河北,预赛,个人,201853019571 01-05-03-03-02 推演室11
2503,11,31,BLUE,BLUE,GREEN,次要,330,100049,0,0,0,0,30,0,0,50,0,0,0,,01-05-03-03-02,河北,预赛,个人,201853019571 01-05-03-03-02 推演室11
2980,2,143,RED,RED,GREEN,主要,330,120057,0,0,0,0,30,0,0,80,0,0,0,,01-06-03-03-02,江苏,预赛,个人,2018530205346 01-06-03-03-02 推演室2
2981,2,143,RED,RED,GREEN,次要,330,120051,0,0,0,0,30,0,0,50,0,0,0,,01-06-03-03-02,江苏,预赛,个人,2018530205346 01-06-03-03-02 推演室2
3008,15,169,BLUE,BLUE,GREEN,主要,330,120057,0,0,0,0,30,0,0,80,0,0,0,,01-06-03-03-02,江苏,预赛,个人,201853021226 01-06-03-03-02 推演室15
3009,15,169,BLUE,BLUE,GREEN,次要,330,120051,0,0,0,0,30,0,0,50,0,0,0,,01-06-03-03-02,江苏,预赛,个人,201853021226 01-06-03-03-02 推演室15
